# oleaut32.dll exports for 'Ordinals to Names' Hopper Script
# Ordinal        Name
imp_ordinal_299  imp_VarCyAdd
imp_ordinal_300  imp_BSTR_UserUnmarshal64
imp_ordinal_301  imp_DllCanUnloadNow
imp_ordinal_302  imp_DllGetClassObject
imp_ordinal_303  imp_VarCyMul
imp_ordinal_304  imp_VarCyMulI4
imp_ordinal_305  imp_VarCySub
imp_ordinal_306  imp_VarCyAbs
imp_ordinal_307  imp_VarCyFix
imp_ordinal_308  imp_VarCyInt
imp_ordinal_309  imp_VarCyNeg
imp_ordinal_310  imp_VarCyRound
imp_ordinal_311  imp_VarCyCmp
imp_ordinal_312  imp_VarCyCmpR8
imp_ordinal_313  imp_VarBstrCat
imp_ordinal_314  imp_VarBstrCmp
imp_ordinal_315  imp_VarR8Pow
imp_ordinal_316  imp_VarR4CmpR8
imp_ordinal_317  imp_VarR8Round
imp_ordinal_318  imp_VarCat
imp_ordinal_319  imp_VarDateFromUdateEx
imp_ordinal_320  imp_DllRegisterServer
imp_ordinal_321  imp_DllUnregisterServer
imp_ordinal_322  imp_GetRecordInfoFromGuids
imp_ordinal_323  imp_GetRecordInfoFromTypeInfo
imp_ordinal_324  imp_LPSAFEARRAY_UserFree64
imp_ordinal_325  imp_SetVarConversionLocaleSetting
imp_ordinal_326  imp_GetVarConversionLocaleSetting
imp_ordinal_327  imp_SetOaNoCache
imp_ordinal_328  imp_LPSAFEARRAY_UserMarshal64
imp_ordinal_329  imp_VarCyMulI8
imp_ordinal_330  imp_VarDateFromUdate
imp_ordinal_331  imp_VarUdateFromDate
imp_ordinal_332  imp_GetAltMonthNames
imp_ordinal_333  imp_VarI8FromUI1
imp_ordinal_334  imp_VarI8FromI2
imp_ordinal_335  imp_VarI8FromR4
imp_ordinal_336  imp_VarI8FromR8
imp_ordinal_337  imp_VarI8FromCy
imp_ordinal_338  imp_VarI8FromDate
imp_ordinal_339  imp_VarI8FromStr
imp_ordinal_340  imp_VarI8FromDisp
imp_ordinal_341  imp_VarI8FromBool
imp_ordinal_342  imp_VarI8FromI1
imp_ordinal_343  imp_VarI8FromUI2
imp_ordinal_344  imp_VarI8FromUI4
imp_ordinal_345  imp_VarI8FromDec
imp_ordinal_346  imp_VarI2FromI8
imp_ordinal_347  imp_VarI2FromUI8
imp_ordinal_348  imp_VarI4FromI8
imp_ordinal_349  imp_VarI4FromUI8
imp_ordinal_350  imp_LPSAFEARRAY_UserSize64
imp_ordinal_351  imp_LPSAFEARRAY_UserUnmarshal64
imp_ordinal_352  imp_OACreateTypeLib2
imp_ordinal_353  imp_VARIANT_UserFree64
imp_ordinal_354  imp_VARIANT_UserMarshal64
imp_ordinal_355  imp_VARIANT_UserSize64
imp_ordinal_356  imp_VARIANT_UserUnmarshal64
imp_ordinal_360  imp_VarR4FromI8
imp_ordinal_361  imp_VarR4FromUI8
imp_ordinal_362  imp_VarR8FromI8
imp_ordinal_363  imp_VarR8FromUI8
imp_ordinal_364  imp_VarDateFromI8
imp_ordinal_365  imp_VarDateFromUI8
imp_ordinal_366  imp_VarCyFromI8
imp_ordinal_367  imp_VarCyFromUI8
imp_ordinal_368  imp_VarBstrFromI8
imp_ordinal_369  imp_VarBstrFromUI8
imp_ordinal_370  imp_VarBoolFromI8
imp_ordinal_371  imp_VarBoolFromUI8
imp_ordinal_372  imp_VarUI1FromI8
imp_ordinal_373  imp_VarUI1FromUI8
imp_ordinal_374  imp_VarDecFromI8
imp_ordinal_375  imp_VarDecFromUI8
imp_ordinal_376  imp_VarI1FromI8
imp_ordinal_377  imp_VarI1FromUI8
imp_ordinal_378  imp_VarUI2FromI8
imp_ordinal_379  imp_VarUI2FromUI8
imp_ordinal_401  imp_OleLoadPictureEx
imp_ordinal_402  imp_OleLoadPictureFileEx
imp_ordinal_411  imp_SafeArrayCreateVector
imp_ordinal_412  imp_SafeArrayCopyData
imp_ordinal_413  imp_VectorFromBstr
imp_ordinal_414  imp_BstrFromVector
imp_ordinal_415  imp_OleIconToCursor
imp_ordinal_416  imp_OleCreatePropertyFrameIndirect
imp_ordinal_417  imp_OleCreatePropertyFrame
imp_ordinal_418  imp_OleLoadPicture
imp_ordinal_419  imp_OleCreatePictureIndirect
imp_ordinal_420  imp_OleCreateFontIndirect
imp_ordinal_421  imp_OleTranslateColor
imp_ordinal_422  imp_OleLoadPictureFile
imp_ordinal_423  imp_OleSavePictureFile
imp_ordinal_424  imp_OleLoadPicturePath
imp_ordinal_425  imp_VarUI4FromI8
imp_ordinal_426  imp_VarUI4FromUI8
imp_ordinal_427  imp_VarI8FromUI8
imp_ordinal_428  imp_VarUI8FromI8
imp_ordinal_429  imp_VarUI8FromUI1
imp_ordinal_430  imp_VarUI8FromI2
imp_ordinal_431  imp_VarUI8FromR4
imp_ordinal_432  imp_VarUI8FromR8
imp_ordinal_433  imp_VarUI8FromCy
imp_ordinal_434  imp_VarUI8FromDate
imp_ordinal_435  imp_VarUI8FromStr
imp_ordinal_436  imp_VarUI8FromDisp
imp_ordinal_437  imp_VarUI8FromBool
imp_ordinal_438  imp_VarUI8FromI1
imp_ordinal_439  imp_VarUI8FromUI2
imp_ordinal_440  imp_VarUI8FromUI4
imp_ordinal_441  imp_VarUI8FromDec
imp_ordinal_442  imp_RegisterTypeLibForUser
imp_ordinal_443  imp_UnRegisterTypeLibForUser
imp_ordinal_444  imp_OaEnablePerUserTLibRegistration
imp_ordinal_500  imp_OACleanup
